energy,intensity,id,type
1.06,349,11_spectrum_34,aggregate_in_rock
1.07,328,11_spectrum_34,aggregate_in_rock
1.08,304,11_spectrum_34,aggregate_in_rock
1.09,283,11_spectrum_34,aggregate_in_rock
1.1,272,11_spectrum_34,aggregate_in_rock
1.11,266,11_spectrum_34,aggregate_in_rock
1.12,260,11_spectrum_34,aggregate_in_rock
1.13,257,11_spectrum_34,aggregate_in_rock
1.14,256,11_spectrum_34,aggregate_in_rock
1.15,267,11_spectrum_34,aggregate_in_rock
1.16,271,11_spectrum_34,aggregate_in_rock
1.17,268,11_spectrum_34,aggregate_in_rock
1.18,280,11_spectrum_34,aggregate_in_rock
1.19,291,11_spectrum_34,aggregate_in_rock
1.2,304,11_spectrum_34,aggregate_in_rock
1.21,318,11_spectrum_34,aggregate_in_rock
1.22,330,11_spectrum_34,aggregate_in_rock
1.23,363,11_spectrum_34,aggregate_in_rock
1.24,397,11_spectrum_34,aggregate_in_rock
1.25,388,11_spectrum_34,aggregate_in_rock
1.26,431,11_spectrum_34,aggregate_in_rock
1.27,412,11_spectrum_34,aggregate_in_rock
1.28,383,11_spectrum_34,aggregate_in_rock
1.29,350,11_spectrum_34,aggregate_in_rock
1.3,378,11_spectrum_34,aggregate_in_rock
1.31,338,11_spectrum_34,aggregate_in_rock
1.32,316,11_spectrum_34,aggregate_in_rock
1.33,346,11_spectrum_34,aggregate_in_rock
1.34,336,11_spectrum_34,aggregate_in_rock
1.35,306,11_spectrum_34,aggregate_in_rock
1.36,313,11_spectrum_34,aggregate_in_rock
1.37,311,11_spectrum_34,aggregate_in_rock
1.38,310,11_spectrum_34,aggregate_in_rock
1.39,331,11_spectrum_34,aggregate_in_rock
1.4,329,11_spectrum_34,aggregate_in_rock
1.41,350,11_spectrum_34,aggregate_in_rock
1.42,367,11_spectrum_34,aggregate_in_rock
1.43,402,11_spectrum_34,aggregate_in_rock
1.44,419,11_spectrum_34,aggregate_in_rock
1.45,444,11_spectrum_34,aggregate_in_rock
1.46,498,11_spectrum_34,aggregate_in_rock
1.47,548,11_spectrum_34,aggregate_in_rock
1.48,616,11_spectrum_34,aggregate_in_rock
1.49,651,11_spectrum_34,aggregate_in_rock
1.5,655,11_spectrum_34,aggregate_in_rock
1.51,587,11_spectrum_34,aggregate_in_rock
1.52,522,11_spectrum_34,aggregate_in_rock
1.53,510,11_spectrum_34,aggregate_in_rock
1.54,465,11_spectrum_34,aggregate_in_rock
1.55,417,11_spectrum_34,aggregate_in_rock
1.56,397,11_spectrum_34,aggregate_in_rock
1.57,391,11_spectrum_34,aggregate_in_rock
1.58,377,11_spectrum_34,aggregate_in_rock
1.59,348,11_spectrum_34,aggregate_in_rock
1.6,353,11_spectrum_34,aggregate_in_rock
1.61,382,11_spectrum_34,aggregate_in_rock
1.62,400,11_spectrum_34,aggregate_in_rock
1.63,431,11_spectrum_34,aggregate_in_rock
1.64,536,11_spectrum_34,aggregate_in_rock
1.65,702,11_spectrum_34,aggregate_in_rock
1.66,1019,11_spectrum_34,aggregate_in_rock
1.67,1569,11_spectrum_34,aggregate_in_rock
1.68,2419,11_spectrum_34,aggregate_in_rock
1.69,3565,11_spectrum_34,aggregate_in_rock
1.7,5038,11_spectrum_34,aggregate_in_rock
1.71,6682,11_spectrum_34,aggregate_in_rock
1.72,8298,11_spectrum_34,aggregate_in_rock
1.73,9419,11_spectrum_34,aggregate_in_rock
1.74,10043,11_spectrum_34,aggregate_in_rock
1.75,9834,11_spectrum_34,aggregate_in_rock
1.76,9154,11_spectrum_34,aggregate_in_rock
1.77,7870,11_spectrum_34,aggregate_in_rock
1.78,6256,11_spectrum_34,aggregate_in_rock
1.79,4699,11_spectrum_34,aggregate_in_rock
1.8,3375,11_spectrum_34,aggregate_in_rock
1.81,2360,11_spectrum_34,aggregate_in_rock
1.82,1694,11_spectrum_34,aggregate_in_rock
1.83,1248,11_spectrum_34,aggregate_in_rock
1.84,969,11_spectrum_34,aggregate_in_rock
1.85,781,11_spectrum_34,aggregate_in_rock
1.86,639,11_spectrum_34,aggregate_in_rock
1.87,499,11_spectrum_34,aggregate_in_rock
1.88,430,11_spectrum_34,aggregate_in_rock
1.89,375,11_spectrum_34,aggregate_in_rock
1.9,381,11_spectrum_34,aggregate_in_rock
1.91,342,11_spectrum_34,aggregate_in_rock
1.92,325,11_spectrum_34,aggregate_in_rock
1.93,349,11_spectrum_34,aggregate_in_rock
1.94,342,11_spectrum_34,aggregate_in_rock
1.95,345,11_spectrum_34,aggregate_in_rock
1.96,372,11_spectrum_34,aggregate_in_rock
1.97,408,11_spectrum_34,aggregate_in_rock
1.98,432,11_spectrum_34,aggregate_in_rock
1.99,432,11_spectrum_34,aggregate_in_rock
2,454,11_spectrum_34,aggregate_in_rock
2.01,436,11_spectrum_34,aggregate_in_rock
2.02,388,11_spectrum_34,aggregate_in_rock
2.03,398,11_spectrum_34,aggregate_in_rock
2.04,377,11_spectrum_34,aggregate_in_rock
2.05,350,11_spectrum_34,aggregate_in_rock
2.06,334,11_spectrum_34,aggregate_in_rock
2.07,325,11_spectrum_34,aggregate_in_rock
2.08,288,11_spectrum_34,aggregate_in_rock
2.09,279,11_spectrum_34,aggregate_in_rock
2.1,256,11_spectrum_34,aggregate_in_rock
2.11,243,11_spectrum_34,aggregate_in_rock
2.12,239,11_spectrum_34,aggregate_in_rock
2.13,236,11_spectrum_34,aggregate_in_rock
2.14,253,11_spectrum_34,aggregate_in_rock
2.15,255,11_spectrum_34,aggregate_in_rock
2.16,229,11_spectrum_34,aggregate_in_rock
2.17,238,11_spectrum_34,aggregate_in_rock
2.18,250,11_spectrum_34,aggregate_in_rock
2.19,256,11_spectrum_34,aggregate_in_rock
2.2,268,11_spectrum_34,aggregate_in_rock
2.21,278,11_spectrum_34,aggregate_in_rock
2.22,266,11_spectrum_34,aggregate_in_rock
2.23,281,11_spectrum_34,aggregate_in_rock
2.24,280,11_spectrum_34,aggregate_in_rock
2.25,282,11_spectrum_34,aggregate_in_rock
2.26,303,11_spectrum_34,aggregate_in_rock
2.27,303,11_spectrum_34,aggregate_in_rock
2.28,310,11_spectrum_34,aggregate_in_rock
2.29,324,11_spectrum_34,aggregate_in_rock
2.3,347,11_spectrum_34,aggregate_in_rock
2.31,348,11_spectrum_34,aggregate_in_rock
2.32,327,11_spectrum_34,aggregate_in_rock
2.33,311,11_spectrum_34,aggregate_in_rock
2.34,285,11_spectrum_34,aggregate_in_rock
2.35,289,11_spectrum_34,aggregate_in_rock
2.36,278,11_spectrum_34,aggregate_in_rock
2.37,260,11_spectrum_34,aggregate_in_rock
2.38,239,11_spectrum_34,aggregate_in_rock
2.39,235,11_spectrum_34,aggregate_in_rock
2.4,225,11_spectrum_34,aggregate_in_rock
2.41,223,11_spectrum_34,aggregate_in_rock
2.42,236,11_spectrum_34,aggregate_in_rock
2.43,232,11_spectrum_34,aggregate_in_rock
2.44,230,11_spectrum_34,aggregate_in_rock
2.45,212,11_spectrum_34,aggregate_in_rock
2.46,215,11_spectrum_34,aggregate_in_rock
2.47,224,11_spectrum_34,aggregate_in_rock
2.48,238,11_spectrum_34,aggregate_in_rock
2.49,235,11_spectrum_34,aggregate_in_rock
2.5,241,11_spectrum_34,aggregate_in_rock
2.51,247,11_spectrum_34,aggregate_in_rock
2.52,250,11_spectrum_34,aggregate_in_rock
2.53,258,11_spectrum_34,aggregate_in_rock
2.54,283,11_spectrum_34,aggregate_in_rock
2.55,295,11_spectrum_34,aggregate_in_rock
2.56,316,11_spectrum_34,aggregate_in_rock
2.57,368,11_spectrum_34,aggregate_in_rock
2.58,394,11_spectrum_34,aggregate_in_rock
2.59,453,11_spectrum_34,aggregate_in_rock
2.6,508,11_spectrum_34,aggregate_in_rock
2.61,560,11_spectrum_34,aggregate_in_rock
2.62,584,11_spectrum_34,aggregate_in_rock
2.63,611,11_spectrum_34,aggregate_in_rock
2.64,584,11_spectrum_34,aggregate_in_rock
2.65,533,11_spectrum_34,aggregate_in_rock
2.66,484,11_spectrum_34,aggregate_in_rock
2.67,422,11_spectrum_34,aggregate_in_rock
2.68,368,11_spectrum_34,aggregate_in_rock
2.69,303,11_spectrum_34,aggregate_in_rock
2.7,269,11_spectrum_34,aggregate_in_rock
2.71,268,11_spectrum_34,aggregate_in_rock
2.72,255,11_spectrum_34,aggregate_in_rock
2.73,233,11_spectrum_34,aggregate_in_rock
2.74,221,11_spectrum_34,aggregate_in_rock
2.75,222,11_spectrum_34,aggregate_in_rock
2.76,201,11_spectrum_34,aggregate_in_rock
2.77,217,11_spectrum_34,aggregate_in_rock
2.78,237,11_spectrum_34,aggregate_in_rock
2.79,230,11_spectrum_34,aggregate_in_rock
2.8,222,11_spectrum_34,aggregate_in_rock
2.81,234,11_spectrum_34,aggregate_in_rock
2.82,235,11_spectrum_34,aggregate_in_rock
2.83,239,11_spectrum_34,aggregate_in_rock
2.84,249,11_spectrum_34,aggregate_in_rock
2.85,235,11_spectrum_34,aggregate_in_rock
2.86,216,11_spectrum_34,aggregate_in_rock
2.87,218,11_spectrum_34,aggregate_in_rock
2.88,233,11_spectrum_34,aggregate_in_rock
2.89,210,11_spectrum_34,aggregate_in_rock
2.9,192,11_spectrum_34,aggregate_in_rock
2.91,194,11_spectrum_34,aggregate_in_rock
2.92,187,11_spectrum_34,aggregate_in_rock
2.93,180,11_spectrum_34,aggregate_in_rock
2.94,189,11_spectrum_34,aggregate_in_rock
2.95,194,11_spectrum_34,aggregate_in_rock
