Raman_shift,Intensity,Sample,Location,Age,Orgs,Type
2305.371094,-989.247131,BC4_3,Bear Creek,Eocene,Yes,Ancient
2303.773438,1829.31958,BC4_3,Bear Creek,Eocene,Yes,Ancient
2302.173828,-4221.258789,BC4_3,Bear Creek,Eocene,Yes,Ancient
2300.572266,-4809.539551,BC4_3,Bear Creek,Eocene,Yes,Ancient
2298.972656,1911.450806,BC4_3,Bear Creek,Eocene,Yes,Ancient
2297.373047,-1734.492188,BC4_3,Bear Creek,Eocene,Yes,Ancient
2295.771484,-3607.300781,BC4_3,Bear Creek,Eocene,Yes,Ancient
2294.169922,-658.981201,BC4_3,Bear Creek,Eocene,Yes,Ancient
2292.568359,-1358.166504,BC4_3,Bear Creek,Eocene,Yes,Ancient
2290.966797,-2940.491943,BC4_3,Bear Creek,Eocene,Yes,Ancient
2289.365234,1860.280396,BC4_3,Bear Creek,Eocene,Yes,Ancient
2287.761719,-2884.778076,BC4_3,Bear Creek,Eocene,Yes,Ancient
2286.158203,-1649.646484,BC4_3,Bear Creek,Eocene,Yes,Ancient
2284.554688,280.541748,BC4_3,Bear Creek,Eocene,Yes,Ancient
2282.951172,5393.902344,BC4_3,Bear Creek,Eocene,Yes,Ancient
2281.347656,2053.048096,BC4_3,Bear Creek,Eocene,Yes,Ancient
2279.744141,3428.056641,BC4_3,Bear Creek,Eocene,Yes,Ancient
2278.138672,1972.591797,BC4_3,Bear Creek,Eocene,Yes,Ancient
2276.533203,888.249878,BC4_3,Bear Creek,Eocene,Yes,Ancient
2274.927734,535.344849,BC4_3,Bear Creek,Eocene,Yes,Ancient
2273.322266,3588.691406,BC4_3,Bear Creek,Eocene,Yes,Ancient
2271.716797,3675.351074,BC4_3,Bear Creek,Eocene,Yes,Ancient
2270.109375,4013.665527,BC4_3,Bear Creek,Eocene,Yes,Ancient
2268.501953,2244.523438,BC4_3,Bear Creek,Eocene,Yes,Ancient
2266.896484,-500.192993,BC4_3,Bear Creek,Eocene,Yes,Ancient
2265.289063,2461.238037,BC4_3,Bear Creek,Eocene,Yes,Ancient
2263.679688,829.983643,BC4_3,Bear Creek,Eocene,Yes,Ancient
2262.072266,-1234.236084,BC4_3,Bear Creek,Eocene,Yes,Ancient
2260.462891,3499.638428,BC4_3,Bear Creek,Eocene,Yes,Ancient
2258.855469,1596.701172,BC4_3,Bear Creek,Eocene,Yes,Ancient
2257.246094,-2584.020264,BC4_3,Bear Creek,Eocene,Yes,Ancient
2255.636719,1951.180298,BC4_3,Bear Creek,Eocene,Yes,Ancient
2254.025391,527.60437,BC4_3,Bear Creek,Eocene,Yes,Ancient
2252.416016,603.677002,BC4_3,Bear Creek,Eocene,Yes,Ancient
2250.804688,1537.319336,BC4_3,Bear Creek,Eocene,Yes,Ancient
2249.193359,1362.46875,BC4_3,Bear Creek,Eocene,Yes,Ancient
2247.582031,-582.416504,BC4_3,Bear Creek,Eocene,Yes,Ancient
2245.970703,1111.37207,BC4_3,Bear Creek,Eocene,Yes,Ancient
2244.359375,1999.542847,BC4_3,Bear Creek,Eocene,Yes,Ancient
2242.746094,515.642517,BC4_3,Bear Creek,Eocene,Yes,Ancient
2241.132813,1427.844727,BC4_3,Bear Creek,Eocene,Yes,Ancient
2239.519531,-2145.549072,BC4_3,Bear Creek,Eocene,Yes,Ancient
2237.90625,-2072.00415,BC4_3,Bear Creek,Eocene,Yes,Ancient
2236.292969,595.59082,BC4_3,Bear Creek,Eocene,Yes,Ancient
2234.679688,5100.09668,BC4_3,Bear Creek,Eocene,Yes,Ancient
2233.064453,-732.367065,BC4_3,Bear Creek,Eocene,Yes,Ancient
2231.449219,-3402.717529,BC4_3,Bear Creek,Eocene,Yes,Ancient
2229.833984,779.99939,BC4_3,Bear Creek,Eocene,Yes,Ancient
2228.21875,1313.863403,BC4_3,Bear Creek,Eocene,Yes,Ancient
2226.603516,-407.546295,BC4_3,Bear Creek,Eocene,Yes,Ancient
2224.986328,-673.431641,BC4_3,Bear Creek,Eocene,Yes,Ancient
2223.371094,4152.285156,BC4_3,Bear Creek,Eocene,Yes,Ancient
2221.753906,3279.90918,BC4_3,Bear Creek,Eocene,Yes,Ancient
2220.136719,-1393.481812,BC4_3,Bear Creek,Eocene,Yes,Ancient
2218.517578,4148.520996,BC4_3,Bear Creek,Eocene,Yes,Ancient
2216.900391,-382.106995,BC4_3,Bear Creek,Eocene,Yes,Ancient
2215.28125,-413.51416,BC4_3,Bear Creek,Eocene,Yes,Ancient
2213.664063,-2190.093262,BC4_3,Bear Creek,Eocene,Yes,Ancient
2212.044922,3184.885254,BC4_3,Bear Creek,Eocene,Yes,Ancient
2210.423828,-1282.592651,BC4_3,Bear Creek,Eocene,Yes,Ancient
2208.804688,-1799.018066,BC4_3,Bear Creek,Eocene,Yes,Ancient
2207.185547,-53.282654,BC4_3,Bear Creek,Eocene,Yes,Ancient
2205.564453,446.18045,BC4_3,Bear Creek,Eocene,Yes,Ancient
2203.943359,294.828064,BC4_3,Bear Creek,Eocene,Yes,Ancient
2202.322266,242.909119,BC4_3,Bear Creek,Eocene,Yes,Ancient
2200.701172,1550.925537,BC4_3,Bear Creek,Eocene,Yes,Ancient
2199.078125,1087.336914,BC4_3,Bear Creek,Eocene,Yes,Ancient
2197.457031,-13.215334,BC4_3,Bear Creek,Eocene,Yes,Ancient
2195.833984,-463.04422,BC4_3,Bear Creek,Eocene,Yes,Ancient
2194.210938,5091.62793,BC4_3,Bear Creek,Eocene,Yes,Ancient
2192.587891,1346.459351,BC4_3,Bear Creek,Eocene,Yes,Ancient
2190.964844,-1277.637817,BC4_3,Bear Creek,Eocene,Yes,Ancient
2189.339844,2892.22876,BC4_3,Bear Creek,Eocene,Yes,Ancient
2187.716797,1514.537964,BC4_3,Bear Creek,Eocene,Yes,Ancient
2186.091797,-1001.34082,BC4_3,Bear Creek,Eocene,Yes,Ancient
2184.466797,870.607056,BC4_3,Bear Creek,Eocene,Yes,Ancient
2182.841797,222.126617,BC4_3,Bear Creek,Eocene,Yes,Ancient
2181.214844,3100.552246,BC4_3,Bear Creek,Eocene,Yes,Ancient
2179.589844,3328.554688,BC4_3,Bear Creek,Eocene,Yes,Ancient
2177.962891,-1317.501221,BC4_3,Bear Creek,Eocene,Yes,Ancient
2176.335938,2041.769897,BC4_3,Bear Creek,Eocene,Yes,Ancient
2174.708984,-2445.769043,BC4_3,Bear Creek,Eocene,Yes,Ancient
2173.082031,2198.000732,BC4_3,Bear Creek,Eocene,Yes,Ancient
2171.453125,165.965149,BC4_3,Bear Creek,Eocene,Yes,Ancient
2169.824219,556.114136,BC4_3,Bear Creek,Eocene,Yes,Ancient
2168.197266,-1450.811279,BC4_3,Bear Creek,Eocene,Yes,Ancient
2166.568359,769.990234,BC4_3,Bear Creek,Eocene,Yes,Ancient
2164.9375,-42.859089,BC4_3,Bear Creek,Eocene,Yes,Ancient
2163.308594,4934.372559,BC4_3,Bear Creek,Eocene,Yes,Ancient
2161.677734,2197.183105,BC4_3,Bear Creek,Eocene,Yes,Ancient
2160.048828,96.205727,BC4_3,Bear Creek,Eocene,Yes,Ancient
2158.417969,-3253.153076,BC4_3,Bear Creek,Eocene,Yes,Ancient
2156.787109,-1567.400146,BC4_3,Bear Creek,Eocene,Yes,Ancient
2155.154297,132.978073,BC4_3,Bear Creek,Eocene,Yes,Ancient
2153.523438,1431.718872,BC4_3,Bear Creek,Eocene,Yes,Ancient
2151.890625,1442.624634,BC4_3,Bear Creek,Eocene,Yes,Ancient
2150.257813,2593.393799,BC4_3,Bear Creek,Eocene,Yes,Ancient
2148.625,-2736.093262,BC4_3,Bear Creek,Eocene,Yes,Ancient
2146.992188,-1006.411194,BC4_3,Bear Creek,Eocene,Yes,Ancient
2145.359375,1363.476685,BC4_3,Bear Creek,Eocene,Yes,Ancient
2143.724609,1054.827026,BC4_3,Bear Creek,Eocene,Yes,Ancient
2142.091797,2290.066895,BC4_3,Bear Creek,Eocene,Yes,Ancient
2140.457031,3482.287109,BC4_3,Bear Creek,Eocene,Yes,Ancient
2138.822266,4437.223633,BC4_3,Bear Creek,Eocene,Yes,Ancient
2137.185547,-62.195404,BC4_3,Bear Creek,Eocene,Yes,Ancient
2135.550781,974.606262,BC4_3,Bear Creek,Eocene,Yes,Ancient
2133.914063,2813.814697,BC4_3,Bear Creek,Eocene,Yes,Ancient
2132.277344,107.989128,BC4_3,Bear Creek,Eocene,Yes,Ancient
2130.640625,1414.140869,BC4_3,Bear Creek,Eocene,Yes,Ancient
2129.003906,-1026.5271,BC4_3,Bear Creek,Eocene,Yes,Ancient
2127.367188,-4317.365723,BC4_3,Bear Creek,Eocene,Yes,Ancient
2125.728516,-0.291709,BC4_3,Bear Creek,Eocene,Yes,Ancient
2124.091797,-1542.709839,BC4_3,Bear Creek,Eocene,Yes,Ancient
2122.453125,-4429.534668,BC4_3,Bear Creek,Eocene,Yes,Ancient
2120.814453,1520.942749,BC4_3,Bear Creek,Eocene,Yes,Ancient
2119.173828,4254.443359,BC4_3,Bear Creek,Eocene,Yes,Ancient
2117.535156,2437.272705,BC4_3,Bear Creek,Eocene,Yes,Ancient
2115.894531,5319.789551,BC4_3,Bear Creek,Eocene,Yes,Ancient
2114.253906,2152.683105,BC4_3,Bear Creek,Eocene,Yes,Ancient
2112.613281,-1281.156006,BC4_3,Bear Creek,Eocene,Yes,Ancient
2110.972656,3872.162598,BC4_3,Bear Creek,Eocene,Yes,Ancient
2109.332031,3303.76709,BC4_3,Bear Creek,Eocene,Yes,Ancient
2107.689453,1792.273071,BC4_3,Bear Creek,Eocene,Yes,Ancient
2106.046875,389.540436,BC4_3,Bear Creek,Eocene,Yes,Ancient
2104.404297,-2911.186279,BC4_3,Bear Creek,Eocene,Yes,Ancient
2102.761719,47.71151,BC4_3,Bear Creek,Eocene,Yes,Ancient
2101.119141,1917.353149,BC4_3,Bear Creek,Eocene,Yes,Ancient
2099.476563,2165.356445,BC4_3,Bear Creek,Eocene,Yes,Ancient
2097.832031,512.071106,BC4_3,Bear Creek,Eocene,Yes,Ancient
2096.1875,937.566711,BC4_3,Bear Creek,Eocene,Yes,Ancient
2094.542969,-3092.77832,BC4_3,Bear Creek,Eocene,Yes,Ancient
2092.898438,-2479.085938,BC4_3,Bear Creek,Eocene,Yes,Ancient
2091.251953,-1295.87793,BC4_3,Bear Creek,Eocene,Yes,Ancient
2089.607422,-4095.832275,BC4_3,Bear Creek,Eocene,Yes,Ancient
2087.960938,788.658142,BC4_3,Bear Creek,Eocene,Yes,Ancient
2086.314453,431.543884,BC4_3,Bear Creek,Eocene,Yes,Ancient
2084.667969,-2923.727539,BC4_3,Bear Creek,Eocene,Yes,Ancient
2083.021484,-4050.459229,BC4_3,Bear Creek,Eocene,Yes,Ancient
2081.373047,-4386.798828,BC4_3,Bear Creek,Eocene,Yes,Ancient
2079.724609,274.024231,BC4_3,Bear Creek,Eocene,Yes,Ancient
2078.078125,-846.928345,BC4_3,Bear Creek,Eocene,Yes,Ancient
2076.429688,-2508.29834,BC4_3,Bear Creek,Eocene,Yes,Ancient
2074.779297,128.596237,BC4_3,Bear Creek,Eocene,Yes,Ancient
2073.130859,-1060.557739,BC4_3,Bear Creek,Eocene,Yes,Ancient
2071.480469,-315.303528,BC4_3,Bear Creek,Eocene,Yes,Ancient
2069.832031,853.55603,BC4_3,Bear Creek,Eocene,Yes,Ancient
2068.181641,-103.77861,BC4_3,Bear Creek,Eocene,Yes,Ancient
2066.529297,1051.777222,BC4_3,Bear Creek,Eocene,Yes,Ancient
2064.878906,-1157.668213,BC4_3,Bear Creek,Eocene,Yes,Ancient
2063.228516,1389.269897,BC4_3,Bear Creek,Eocene,Yes,Ancient
2061.576172,1469.64978,BC4_3,Bear Creek,Eocene,Yes,Ancient
2059.923828,-965.559937,BC4_3,Bear Creek,Eocene,Yes,Ancient
2058.271484,-1105.364014,BC4_3,Bear Creek,Eocene,Yes,Ancient
2056.619141,-3964.647217,BC4_3,Bear Creek,Eocene,Yes,Ancient
2054.964844,-839.601013,BC4_3,Bear Creek,Eocene,Yes,Ancient
2053.310547,2323.463135,BC4_3,Bear Creek,Eocene,Yes,Ancient
2051.658203,-925.110657,BC4_3,Bear Creek,Eocene,Yes,Ancient
2050.003906,-43.006424,BC4_3,Bear Creek,Eocene,Yes,Ancient
