ID_1,ID_extra,ID_2,ID_3,plot_category,d13c,2sd_d13c,sd_d13c,pyr,aggregates,phase,locality,date,category,extracted,instrument
BC4,,3,Ancient seep carbonate,Ancient seep carbonate,-22.19541082,0.934547271,0.467273636,,y,Spar,Bear Creek,2020_11,Spar,,
BC4,,26,Ancient seep carbonate,Ancient seep carbonate,-23.11206268,1.143390509,0.571695255,,y,Spar,Bear Creek,2020_11,Spar,,
BC4,,45,Ancient seep carbonate,Ancient seep carbonate,-30.96037128,0.840116461,0.420058231,,y,Spar,Bear Creek,2020_11,Spar,,
BC4,,20,Ancient seep carbonate,Ancient seep carbonate,-25.58013174,1.097125752,0.548562876,,y,Spar,Bear Creek,2020_11,Spar,,
TB2S1B,,5,Ancient seep carbonate,Ancient seep carbonate,-32.78915711,1.622975801,0.811487901,,y,Calcite vein,Tepee Buttes,2020_11,Vein,,
TB2S1B,,2,Ancient seep carbonate,Ancient seep carbonate,-28.19326109,1.232703988,0.616351994,,y,Calcite vein,Tepee Buttes,2020_11,Vein,,
TB2S1B,,4,Ancient seep carbonate,Ancient seep carbonate,-25.91876608,1.025269199,0.5126346,,y,Peloidal micrite,Tepee Buttes,2020_11,Micrite/peloid,,
TB2S1B,,8,Ancient seep carbonate,Ancient seep carbonate,-37.35240791,1.092959718,0.546479859,,y,Spar,Tepee Buttes,2020_11,Spar,,
TB2S1B,,7,Ancient seep carbonate,Ancient seep carbonate,-23.26306933,1.051588748,0.525794374,,y,Spar,Tepee Buttes,2020_11,Spar,,
TB2S1B,,16,Ancient seep carbonate,Ancient seep carbonate,-29.36418704,1.915549115,0.957774558,,y,Spar,Tepee Buttes,2020_11,Spar,,
TB2S1B,,14,Ancient seep carbonate,Ancient seep carbonate,-28.58669411,1.175423665,0.587711833,,y,Spar,Tepee Buttes,2020_11,Spar,,
TB2S1B,,15,Ancient seep carbonate,Ancient seep carbonate,-26.11,1,0.5,,y,Spar,Tepee Buttes,2020_11,Spar,,
TB2S1B,,1,Ancient seep carbonate,Ancient seep carbonate,-36.02,0.9,0.45,,y,Peloidal micrite,Tepee Buttes,2020_11,Micrite/peloid,,
PH1A,,10,Ancient seep carbonate,Ancient seep carbonate,-27.68009715,1.47617754,0.73808877,,y,Gypsum vein,Panoche Hills,2020_11,Vein,,
PH1A,,9,Ancient seep carbonate,Ancient seep carbonate,-30.73209914,1.371662625,0.685831313,,y,Gypsum vein,Panoche Hills,2020_11,Vein,,
PH1A,,8,Ancient seep carbonate,Ancient seep carbonate,-36.73218312,1.168783267,0.584391634,,y,Layered micrite,Panoche Hills,2020_11,Micrite/peloid,,
PH1A,,13,Ancient seep carbonate,Ancient seep carbonate,-34.32826802,0.96213293,0.481066465,,y,Gypsum vein,Panoche Hills,2020_11,Vein,,
PH1A,,12,Ancient seep carbonate,Ancient seep carbonate,-33.41352042,1.29799645,0.648998225,,y,Gypsum vein,Panoche Hills,2020_11,Vein,,
PH1A,,16,Ancient seep carbonate,Ancient seep carbonate,-38.9115861,1.512765777,0.756382889,,y,Layered micrite,Panoche Hills,2020_11,Micrite/peloid,,
PH1A,,18,Ancient seep carbonate,Ancient seep carbonate,-33.0200356,1.156863504,0.578431752,,y,Layered micrite,Panoche Hills,2020_11,Micrite/peloid,,
PH1A,,17,Ancient seep carbonate,Ancient seep carbonate,-30.05841354,1.933785907,0.966892954,,y,Layered micrite,Panoche Hills,2020_11,Micrite/peloid,,
10860,c,B_11u,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-79.04337709,2.168475394,1.084237697,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,B_1DR,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-44.85534952,2.282585004,1.141292502,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,B_1LR,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-61.36578759,2.15305072,1.07652536,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,B_Nc,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-71.06260283,2.182251236,1.091125618,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,B_7,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-72.93384311,2.192678202,1.096339101,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,B_3r,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-58.56429212,2.160103192,1.080051596,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,B_5u,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-26.92967538,2.105670014,1.052835007,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,B_10a,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-90.91100982,2.194021034,1.097010517,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10926,c,2_11,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-26.93785175,2.336210472,1.168105236,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10926,c,2_3,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-39.19607779,2.108451882,1.054225941,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10926,c,2_9,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-47.02145306,2.175836956,1.087918478,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10926,c,4_4,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-53.00917664,2.181968892,1.090984446,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10926,c,4_5,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-87.6480918,2.171245496,1.085622748,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10926,c,4_9,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-48.52604009,2.220309986,1.110154993,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10926,c,4_14R,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-46.82912399,2.18825474,1.09412737,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10926,c,4_11D,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-57.88951547,2.170749048,1.085374524,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_NR,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-89.84332563,2.131738436,1.065869218,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_NL,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-66.85174707,2.300163204,1.150081602,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_12U,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-88.75535703,2.559410408,1.279705204,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
10860,c,2_12R,Modern seep carbonate,"Confirmed by FISH, extracted from modern seep carbonate",-50.66170794,2.141289346,1.070644673,,y,,"Jaco Scar. Confirmed by FISH, extracted",2021_03,,y,NanoSIMS
